state,x,y
Telangana,-47,-50
Andhra Pradesh,-64,-106
Tamil Nadu,-67,-166
Karnataka,-107,-123
Kerala,-98,-190
Maharashtra,-111,-25
Chhattisgarh,-15,-11
Odisha,29,-18
West Bengal,86,37
Jharkhand,42,43
Bihar,46,87
Uttar Pradesh,-24,101
Haryana,-95,139
Delhi,-82,134
Rajasthan,-133,94
Punjab,-110,177
Himachal Pradesh,-70,185
Jammu And Kashmir,-86,232
Uttarakhand,-48,164
Arunachal Pradesh,182,140
Assam,156,103
Meghalaya,141,83
Tripura,144,55
Mizoram,163,51
Manipur,179,74
Nagaland,188,97
Sikkim,91,117
Goa,-141,-93
Gujarat,-180,34
Madhya Pradesh,-71,42
